src,folder,alt
button/00.jpg,0,空白のカード
button/01.jpg,1,命のカード
button/02.jpg,2,スペルのカード
button/03.jpg,3,欠けた命のカード
button/04.jpg,4,欠けたスペルのカード
button/05.jpg,5,勝手に天下の回り物
button/06.jpg,6,鈴瑚印の団子
button/07.jpg,7,不死鳥の尾
button/08.jpg,8,陰陽玉
button/09.jpg,9,陰陽玉（針）
button/10.jpg,10,ミニ八卦炉
button/11.jpg,11,ミニ八卦炉（ミサイル）
button/12.jpg,12,メイドナイフ
button/13.jpg,13,メイドナイフ（跳弾）
button/14.jpg,14,無事かえるお守り
button/15.jpg,15,蛇の抜け殻入りお守り
button/16.jpg,16,半霊の半分
button/17.jpg,17,上海人形
button/18.jpg,18,アイスフェアリー
button/19.jpg,19,背中の扉
button/20.jpg,20,鬱陶しいＵＦＯ
button/21.jpg,21,太古の勾玉
button/22.jpg,22,守銭奴の教訓
button/23.jpg,23,神山への供物
button/24.jpg,24,死穢回避の薬
button/25.jpg,25,幸運うさぎの足
button/26.jpg,26,弱肉強食の理
button/27.jpg,27,法力経典
button/28.jpg,28,小石ころ帽子
button/29.jpg,29,はじける赤蛙
button/30.jpg,30,疾風の下駄
button/31.jpg,31,偶像防衛隊
button/32.jpg,32,かぐや姫の隠し箱
button/33.jpg,33,頼りになる弟子狸
button/34.jpg,34,弾幕の亡霊
button/35.jpg,35,鬼傑組長の脅嚇
button/36.jpg,36,地獄の沙汰も金次第
button/37.jpg,37,肉体強化地蔵
button/38.jpg,38,転ばぬ先のスペル
button/39.jpg,39,商売上手な招き猫
button/40.jpg,40,山童的買い物術
button/41.jpg,41,ドラゴンキセル
button/42.jpg,42,暴食のムカデ
button/43.jpg,43,画面の境界
button/44.jpg,44,打ち出の小槌
button/45.jpg,45,忍耐の要石
button/46.jpg,46,狂気の月
button/47.jpg,47,やんごとなき威光
button/48.jpg,48,ヴァンパイアファング
button/49.jpg,49,地底の太陽
button/50.jpg,50,アイテムの季節
button/51.jpg,51,重低音バスドラム
button/52.jpg,52,サイコキネシス
button/53.jpg,53,霊力の標本瓶
button/54.jpg,54,大天狗の麦飯
button/55.jpg,55,空色の勾玉
